학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
B000010248,전주덕진중학교,중학교,1945-11-15,사립,본교,운영,전북특별자치도 전주시 덕진구 덕진동2가 234-1,전북특별자치도 전주시 덕진구 기린대로 541-48,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.84406521,127.1169315,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005981,전주중산초등학교,초등학교,1995-04-10,공립,본교,운영,전북특별자치도 전주시 완산구 중화산동2가 614,전북특별자치도 전주시 완산구 중산중앙로 9-10,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.81746652,127.1196127,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005960,전주풍남초등학교,초등학교,1919-11-06,공립,본교,운영,전북특별자치도 전주시 완산구 남노송동 544-1,전북특별자치도 전주시 완산구 견훤왕궁로 16,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82100253,127.1541845,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005974,전주용와초등학교,초등학교,2006-03-01,공립,본교,운영,전북특별자치도 전주시 완산구 삼천동1가 305-43,전북특별자치도 전주시 완산구 장승배기로 14,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.79121932,127.1147101,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010245,전주근영중학교,중학교,1971-03-02,사립,본교,운영,전북특별자치도 전주시 완산구 중화산동2가 247,전북특별자치도 전주시 완산구 영경1길 11,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82030227,127.1246416,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012985,전주근영여자고등학교,고등학교,1971-03-02,사립,본교,운영,전북특별자치도 전주시 완산구 중화산동2가 247,전북특별자치도 전주시 완산구 영경1길 11,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82030227,127.1246416,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006017,전주금평초등학교,초등학교,1982-09-01,공립,본교,운영,전북특별자치도 전주시 덕진구 인후동2가 1536,전북특별자치도 전주시 덕진구 명주3길 16,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.8433282,127.1467912,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006002,전주미산초등학교,초등학교,1949-11-26,공립,본교,운영,전북특별자치도 전주시 덕진구 전미동2가 305-2,전북특별자치도 전주시 덕진구 전미로 160,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.88395549,127.1096907,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012982,전주영생고등학교,고등학교,1953-05-05,사립,본교,운영,전북특별자치도 전주시 완산구 효자동3가 1191-1,전북특별자치도 전주시 완산구 천잠로 333,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.81609983,127.0919874,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005977,전주서문초등학교,초등학교,1997-09-01,공립,본교,운영,전북특별자치도 전주시 완산구 서신동 820,전북특별자치도 전주시 완산구 서신천변11길 19,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82984999,127.1120592,2024-03-22,C738100,청주대학교 지방교육재정연구원
